DATE,PCE
7/1/2014,38.73930088
8/1/2014,39.00392029
9/1/2014,39.03560928
10/1/2014,39.26298595
11/1/2014,39.36687357
12/1/2014,39.41522378
1/1/2015,39.35347926
2/1/2015,39.52401176
3/1/2015,39.70205815
4/1/2015,39.84416857
5/1/2015,40.06697158
6/1/2015,40.20189481
7/1/2015,40.39888925
8/1/2015,40.51257759
9/1/2015,40.51257759
10/1/2015,40.5400196
11/1/2015,40.66089513
12/1/2015,40.77883045
1/1/2016,40.85592943
2/1/2016,41.09539366
3/1/2016,41.06403136
4/1/2016,41.32440379
5/1/2016,41.47696831
6/1/2016,41.74126103
7/1/2016,41.79745181
8/1/2016,41.93400849
9/1/2016,42.12087553
10/1/2016,42.21724926
11/1/2016,42.33191767
12/1/2016,42.65926168
1/1/2017,42.86899706
2/1/2017,42.93008821
3/1/2017,43.11172819
4/1/2017,43.19568768
5/1/2017,43.20712186
6/1/2017,43.37112055
7/1/2017,43.45409997
8/1/2017,43.59523032
9/1/2017,43.99509964
10/1/2017,44.11466841
11/1/2017,44.40934335
12/1/2017,44.72688664
1/1/2018,44.81051944
2/1/2018,44.88206468
3/1/2018,45.1218556
4/1/2018,45.3309376
5/1/2018,45.5854296
6/1/2018,45.70434499
7/1/2018,45.89447893
8/1/2018,46.07056517
9/1/2018,46.0904933
10/1/2018,46.36981379
11/1/2018,46.55243385
12/1/2018,46.16399869
1/1/2019,46.46749428
2/1/2019,46.50800392
3/1/2019,46.94544267
4/1/2019,47.1845802
5/1/2019,47.34727213
6/1/2019,47.55243385
7/1/2019,47.73570729
8/1/2019,47.86311663
9/1/2019,47.93596864
10/1/2019,48.11662855
11/1/2019,48.19601437
12/1/2019,48.3381248
1/1/2020,48.6131983
2/1/2020,48.60307089
3/1/2020,45.33975825
4/1/2020,39.56909507
5/1/2020,43.01012741
6/1/2020,45.78438419
7/1/2020,46.47076119
8/1/2020,47.03430252
9/1/2020,47.64031362
10/1/2020,47.78536426
11/1/2020,47.477295
12/1/2020,47.21038876
1/1/2021,48.79549167
2/1/2021,48.30284221
3/1/2021,50.31558314
